user_id,start_date,role,server,expiration_time,subid,uuid,refer,username,promocode
104115547,2024-02-28T19:27:38.224Z,user,,,,,,mteterev,base
203024910,2024-02-28T11:59:55.071Z,client,nl1,2024-04-28T12:01:10.459Z,GQo5QZP4oo2emn6N,bbae1a20-4593-43ec-b67a-a85a0e82b159,,,superstar
